ticker,volatility_annualized,max_drawdown,total_return,name,sector,index_group,as_of_date,positive,rank_in_index
IFX.DE,0.5625529196828172,-0.21200211110975153,1.0896380061592459,Infineon Technologies,Technology,DAX,2026-06-30,True,1
HOT.DE,0.485817367668325,-0.15919853168758535,0.49556456897554835,Hochtief,Construction,DAX,2026-06-30,True,2
ENR.DE,0.5254511710762197,-0.260846411443718,0.3100478565116658,Siemens Energy,Energy Technology,DAX,2026-06-30,True,3
SY1.DE,0.29218031428341995,-0.11019980420259678,0.286873144050509,Symrise,Chemicals,DAX,2026-06-30,True,4
RWE.DE,0.278264882301985,-0.11056264463590038,0.2617239904855424,RWE,Utilities,DAX,2026-06-30,True,5
BAYN.DE,0.461406730589395,-0.3065455353648504,0.24728161799767334,Bayer,Pharmaceuticals,DAX,2026-06-30,True,6
MRK.DE,0.3153464142756581,-0.21676185999175335,0.21807510016031428,Merck,Pharmaceuticals,DAX,2026-06-30,True,7
DHL.DE,0.3039741274624457,-0.14333072083959342,0.16356148092404288,Deutsche Post,Logistics,DAX,2026-06-30,True,8
EOAN.DE,0.23796014191824327,-0.10597099810600463,0.1571342000495397,E.ON,Utilities,DAX,2026-06-30,True,9
SIE.DE,0.3626386955104392,-0.20503662867365802,0.14958444728298947,Siemens,Industrials,DAX,2026-06-30,True,10
DTG.DE,0.3197292843177677,-0.10542915694221855,0.13825805958755333,Daimler Truck,Automotive,DAX,2026-06-30,True,11
BNR.DE,0.34182982545809776,-0.24541129053329325,0.11011219600077826,Brenntag,Distribution,DAX,2026-06-30,True,12
HEN3.DE,0.2315402510789301,-0.2432210362584949,0.10291064225173274,Henkel,Consumer Goods,DAX,2026-06-30,True,13
BAS.DE,0.2798740151719001,-0.13231304410016076,0.10154558553279736,BASF,Chemicals,DAX,2026-06-30,True,14
ALV.DE,0.19841396656454516,-0.12350398048430755,0.09503672695834631,Allianz,Financial Services,DAX,2026-06-30,True,15
ADS.DE,0.33683949730070617,-0.22984108266687753,0.09017978023825268,Adidas,Apparel,DAX,2026-06-30,True,16
